lastCred,interest,payment,remCred,isFraud
92486.53,0.05,4462.17,88409.72,0
59202.72,0.02,2650.44,56650.95,0
19199.72,0.02,1105.2,18126.52,0
42124.84,0.03,3671.05,38559.1,0
5755.45,0.04,2945.62,2829.01,0
62099.15,0.05,1813.96,60543.94,0
36868.38,0.03,3302.66,33657.89,0
8573.61,0.02,3589.57,4998.33,0
44745.16,0.03,910.15,43946.87,0
32341.23,0.04,978.04,31470.99,0
9860.42,0.0,1377.82,8482.6,0
82066.32,0.02,1848.27,80354.83,0
30478.74,0.04,2744.97,27835.37,0
10712.72,0.04,3535.72,7212.71,0
23802.64,0.03,4593.72,19268.43,0
94546.64,0.01,4875.03,89750.4,0
41622.33,0.0,4047.82,37574.51,0
97373.56,0.04,4744.14,92954.0,0
98821.76,0.04,1730.71,97420.46,0
37699.92,0.01,379.39,37351.95,0
19664.49,0.05,4752.27,14994.16,0
10350.35,0.03,848.4,9527.83,0
81284.28,0.01,2108.76,79243.26,0
44469.25,0.02,4461.64,40081.73,0
89518.17,0.03,2063.11,87678.86,0
82981.96,0.03,1192.12,81997.29,0
40961.64,0.04,2785.45,38312.73,0
82654.09,0.01,3156.19,79566.78,0
55935.52,0.04,1241.76,54880.21,0
7857.54,0.03,2709.07,5168.11,0
56084.82,0.02,2247.97,53930.32,0
14186.33,0.04,1017.95,13215.67,0
17316.54,0.02,2112.75,15232.65,0
69960.67,0.02,3445.05,66632.22,0
55587.08,0.03,1488.97,54237.08,0
8639.06,0.04,4317.32,4350.54,0
77694.82,0.03,3025.37,74863.69,0
31964.89,0.02,1510.86,30507.3,0
34127.7,0.02,2097.8,32086.78,0
47775.88,0.03,1277.41,46617.91,0
8908.8,0.01,1319.44,7596.78,0
50246.99,0.01,2313.61,47975.25,0
56602.69,0.02,4291.42,52405.61,0
85086.2,0.01,4913.07,80244.04,0
4267.96,0.04,1378.23,2903.96,0
14658.36,0.04,451.87,14255.35,0
39572.51,0.03,1465.33,38206.11,0
91516.99,0.03,848.41,90897.37,0
91181.77,0.01,95.5,91162.25,0
13915.17,0.04,2344.38,11617.17,0
56979.14,0.04,4108.14,53060.93,0
59139.81,0.02,670.45,58567.93,0
85694.38,0.01,2132.82,83632.97,0
61963.95,0.03,4295.2,57823.66,0
36190.57,0.03,3724.01,32557.04,0
31183.06,0.04,4907.17,26379.83,0
12919.52,0.02,3869.95,9071.1,0
3951.56,0.02,3620.78,337.37,0
53509.18,0.01,2034.04,51519.73,0
31568.21,0.02,4114.7,27506.12,0
41436.57,0.01,1576.39,39894.71,0
44545.86,0.01,4108.66,40474.32,0
96751.92,0.03,3115.34,93878.46,0
60828.35,0.05,4906.45,56175.35,0
43023.93,0.0,4200.99,38822.94,0
38244.77,0.0,170.64,38074.13,0
97472.95,0.04,3544.02,94253.84,0
27287.32,0.01,3011.77,24298.29,0
58807.66,0.03,2712.49,56242.19,0
6759.95,0.02,727.87,6043.35,0
30953.6,0.03,3751.05,27279.93,0
53158.32,0.01,1735.95,51466.67,0
26856.92,0.01,2466.42,24412.88,0
79074.44,0.01,4814.14,74326.2,0
79036.25,0.03,4505.82,74728.02,0
68922.0,0.05,3335.28,65873.9,0
92093.54,0.05,554.02,91923.24,0
7932.87,0.0,3976.87,3956.0,0
95718.72,0.03,2558.49,93399.53,0
57285.54,0.05,3233.33,54290.9,0
19744.82,0.04,3658.88,16151.76,0
82019.94,0.01,1086.71,81001.58,0
66267.02,0.01,4878.49,61687.68,1
80949.03,0.04,2846.5,78372.36,0
79797.83,0.03,696.86,79300.46,0
35387.84,0.03,2562.17,32914.14,0
41436.07,0.04,409.03,41165.16,0
67057.43,0.03,4161.6,63063.47,0
80419.22,0.04,714.63,79972.65,0
58328.74,0.05,3068.66,55503.12,0
50686.63,0.04,2611.43,48244.16,0
59328.44,0.05,4001.99,55573.65,0
26620.5,0.03,4115.43,22571.62,0
95181.63,0.05,638.14,94940.08,0
35776.15,0.01,2504.0,33301.96,0
76827.26,0.0,1238.65,75588.61,0
88514.95,0.02,797.61,87864.86,0
24722.62,0.0,2963.34,21759.28,0
77591.63,0.04,763.18,77087.09,0
